%311
@RELATION eurostoxx50
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?
2,2711.25
3,2701.22
4,2709.35
5,?
6,?
7,2695.56
8,2691.45
9,2706.39
10,2708.27
11,2717.79
12,?
13,?
14,2715.16
15,2701.59
16,2702.54
17,2718.93
18,2709.59
19,?
20,?
21,2726.63
22,2716.70
23,2708.28
24,2722.96
25,2744.18
26,?
27,?
28,2744.50
29,2749.27
30,2732.12
31,2702.98
32,2710.08
33,?
34,?
35,2625.17
36,2651.21
37,2617.35
38,2597.92
39,2630.30
40,?
41,?
42,2622.61
43,2648.83
44,2656.86
45,2635.35
46,2615.26
47,?
48,?
49,2616.65
50,2662.37
51,2640.35
52,2579.76
53,2630.05
54,?
55,?
56,2651.86
57,2570.52
58,2611.89
59,2633.55
60,2616.75
61,?
62,?
63,2619.78
64,2683.02
65,2679.89
66,2690.85
67,2728.78
68,?
69,?
70,2718.71
71,2711.85
72,2704.73
73,2744.70
74,2725.72
75,?
76,?
77,2705.47
78,2671.96
79,2708.90
80,2683.92
81,2681.67
82,?
83,?
84,2649.28
85,2641.12
86,2612.46
87,2624.02
88,?
89,?
90,?
91,?
92,2679.80
93,2639.01
94,2621.43
95,2585.28
96,?
97,?
98,2589.25
99,2595.13
100,2661.62
101,2674.33
102,2633.47
103,?
104,?
105,2624.71
106,2609.30
107,2553.49
108,2555.50
109,2575.16
110,?
111,?
112,2583.62
113,2662.88
114,2702.05
115,2704.41
116,2683.43
117,?
118,?
119,2717.38
120,2712.00
121,2711.74
122,2718.90
123,2763.68
124,?
125,?
126,2750.52
127,2769.08
128,2784.62
129,2773.16
130,2785.24
131,?
132,?
133,2777.39
134,2795.63
135,2809.58
136,2806.70
137,2817.99
138,?
139,?
140,2824.50
141,2821.65
142,2835.01
143,2776.78
144,2764.29
145,?
146,?
147,2795.00
148,2835.87
149,2786.54
150,2799.20
151,2769.64
152,?
153,?
154,2747.74
155,2755.70
156,2709.33
157,2676.21
158,2724.08
159,?
160,?
161,2719.40
162,2683.20
163,2666.52
164,2661.71
165,2667.32
166,?
167,?
168,2702.69
169,2700.93
170,2683.98
171,2586.45
172,2549.48
173,?
174,?
175,2511.83
176,2543.37
177,2602.81
178,2619.86
179,2602.59
180,?
181,?
182,2622.62
183,2603.20
184,2570.76
185,2646.54
186,2596.01
187,?
188,?
189,2650.85
190,2664.14
191,2659.71
192,2681.32
193,2674.87
194,?
195,?
196,2686.69
197,2665.61
198,2681.88
199,2717.99
200,2716.17
201,?
202,?
203,2725.40
204,2722.90
205,2752.25
206,2740.29
207,2741.96
208,?
209,?
210,2741.73
211,2759.21
212,2768.15
213,2808.64
214,2811.00
215,?
216,?
217,2809.08
218,2790.78
219,2794.44
220,2816.88
221,2825.62
222,?
223,?
224,2827.15
225,2841.61
226,2852.08
227,2835.86
228,2854.27
229,?
230,?
231,2823.35
232,2787.98
233,2774.58
234,2812.32
235,2826.05
236,?
237,?
238,2821.45
239,2749.27
240,2742.61
241,2758.31
242,2721.37
243,?
244,?
245,2774.09
246,2753.35
247,2758.29
248,2774.20
249,2803.42
250,?
251,?
252,2798.31
253,2851.40
254,2863.44
255,2862.07
256,2867.11
257,?
258,?
259,2894.64
260,2890.95
261,2908.92
262,2936.20
263,2927.19
264,?
265,?
266,2906.35
267,2922.93
268,2927.35
269,2922.99
270,2919.34
271,?
272,?
273,2893.15
274,2933.02
275,2918.31
276,2902.12
277,2928.31
278,?
279,?
280,2923.04
281,2903.35
282,2904.73
283,2969.41
284,2974.28
285,?
286,?
287,2977.69
288,3004.56
289,3015.40
290,3010.39
291,3033.31
292,?
293,?
294,3028.65
295,3045.77
296,3017.16 	
297,3038.96 	
298,3034.50
299,?
300,?
301,3022.04
302,3050.64
303,3040.69
304,3067.95
305,3052.14
306,?
307,?
308,3040.67
309,3040.67
310,3035.92
311,3056.40
341,?
371,?
401,?
491,?
671,?
