%310
@RELATION RESPECT
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,299119.20,2644.06
3,13391.36,3100.57,3100.57,3.1005,3.1005,395017.40,2649.70
4,13435.21,3101.66,3101.66,3.1700,3.1700,526151.59,2625.17
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,503059.84,2607.87
8,13328.85,3091.81,3091.81,3.1457,3.1457,436594.58,2600.99
9,13390.51,3105.81,3105.81,3.1516,3.1516,324491.87,2600.72
10,13471.22,3121.76,3121.76,3.1121,3.1121,506349.63,2611.00
11,13488.43,3125.64,3125.64,3.0890,3.0890,277363.56,2601.78
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,382458.72,2601.51
15,13534.89,3110.78,3110.78,3.0750,3.0750,438361.26,2582.97
16,13511.23,3117.54,3117.54,3.1097,3.1097,625808.56,2609.80
17,13596.02,3136.00,3136.00,3.0853,3.0853,357985.91,2612.25
18,13649.70,3134.71,3134.71,3.0925,3.0925,367737.14,2633.44
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,172379.69,2642.75
22,13712.21,3143.18,3143.18,3.1341,3.1341,238797.91,2636.08
23,13779.33,3153.67,3153.67,3.1195,3.1195,373023.56,2636.70
24,13825.33,3130.38,3130.38,3.1503,3.1503,288149.72,2650.72
25,13895.98,3149.71,3149.71,3.1186,3.1186,413858.84,2622.74
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,325898.14,2591.34
29,13954.42,3153.66,3153.66,3.1229,3.1229,304246.13,2586.29
