%310
@RELATION WIG-ENERG
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,45626.32,3840.84
3,13391.36,3100.57,3100.57,3.1005,3.1005,76238.99,3905.64
4,13435.21,3101.66,3101.66,3.1700,3.1700,83388.10,3898.02
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,47087.48,3921.36
8,13328.85,3091.81,3091.81,3.1457,3.1457,41571.83,3919.04
9,13390.51,3105.81,3105.81,3.1516,3.1516,30444.42,3923.58
10,13471.22,3121.76,3121.76,3.1121,3.1121,69233.60,3914.22
11,13488.43,3125.64,3125.64,3.0890,3.0890,62643.74,3897.64
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,48518.53,3908.01
15,13534.89,3110.78,3110.78,3.0750,3.0750,57718.31,3830.35
16,13511.23,3117.54,3117.54,3.1097,3.1097,116921.85,3845.49
17,13596.02,3136.00,3136.00,3.0853,3.0853,44964.97,3859.71
18,13649.70,3134.71,3134.71,3.0925,3.0925,63982.87,3869.29
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,25683.85,3879.21
22,13712.21,3143.18,3143.18,3.1341,3.1341,34780.92,3875.84
23,13779.33,3153.67,3153.67,3.1195,3.1195,38409.34,3828.68
24,13825.33,3130.38,3130.38,3.1503,3.1503,48130.22,3806.18
25,13895.98,3149.71,3149.71,3.1186,3.1186,53917.09,3720.84
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,91148.43,3654.39
29,13954.42,3153.66,3153.66,3.1229,3.1229,51528.64,3667.30
30,13910.42,3142.31,3142.31,3.0938,3.0938,62389.07,3626.08
31,13860.58,3142.13,3142.13,3.0874,3.0874,105681.62,3587.55
32,14009.79,3179.10,3179.10,3.0744,3.0744,58722.17,3581.89
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,13880.08,3131.17,3131.17,3.0563,3.0563,45760.99,3503.46
36,13979.30,3171.58,3171.58,3.0831,3.0831,69374.68,3540.74
37,13986.52,3168.48,3168.48,3.0868,3.0868,64324.06,3488.07
38,13944.05,3165.13,3165.13,3.0886,3.0886,58042.10,3493.15
39,13992.97,3193.87,3193.87,3.1056,3.1056,73447.17,3554.14
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,13971.24,3192.00,3192.00,3.0991,3.0991,41738.28,3574.38
43,14018.70,3186.49,3186.49,3.1159,3.1159,75838.45,3529.39
44,13982.91,3196.88,3196.88,3.1012,3.1012,46298.00,3528.97
45,13973.39,3198.66,3198.66,3.1209,3.1209,57628.69,3532.79
46,13981.76,3192.03,3192.03,3.1398,3.1398,41143.27,3535.54
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,?,?,?,3.1410,3.1410,56940.43,3571.81
50,14035.67,3213.59,3213.59,3.1360,3.1360,79017.99,3552.15
51,13927.54,3164.41,3164.41,3.1002,3.1002,110448.81,3391.42
52,13880.62,3131.49,3131.49,3.1633,3.1633,65020.14,3414.32
53,14000.57,3161.82,3161.82,3.1443,3.1443,74064.32,3358.98
54,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?
56,13784.17,3116.25,3116.25,3.1412,3.1412,109196.22,3297.38
57,13900.13,3129.65,3129.65,3.1733,3.1733,90590.23,3331.59
58,14075.37,3162.26,3162.26,3.1841,3.1841,120905.42,3437.59
59,14054.49,3160.19,3160.19,3.1679,3.1679,69583.90,3410.82
60,14089.66,3169.74,3169.74,3.1769,3.1769,69423.91,3488.03
61,?,?,?,?,?,?,?
62,?,?,?,?,?,?,?
63,14127.82,3182.03,3182.03,3.1837,3.1837,64807.13,3491.34
64,14253.77,3224.13,3224.13,3.1665,3.1665,111229.90,3549.91
65,14296.24,3222.36,3222.36,3.1660,3.1660,120510.70,3535.92
66,14329.49,3232.09,3232.09,3.1808,3.1808,35655.20,3515.15
67,14397.07,3244.37,3244.37,3.1690,3.1690,33387.05,3550.78
68,?,?,?,?,?,?,?
69,?,?,?,?,?,?,?
70,14447.29,3252.87,3252.87,3.1828,3.1828,38034.28,3537.45
71,14450.06,3242.32,3242.32,3.1887,3.1887,21584.36,3562.36
72,14455.28,3245.12,3245.12,3.1863,3.1863,56023.36,3537.29
73,14539.14,3258.93,3258.93,3.2000,3.2000,137124.28,3622.98
74,14514.11,3249.07,3249.07,3.1868,3.1868,198551.05,3616.07
75,?,?,?,?,?,?,?
76,?,?,?,?,?,?,?
77,14452.06,3237.59,3237.59,3.2015,3.2015,50317.11,3558.00
78,14455.82,3229.10,3229.10,3.2055,3.2055,75658.23,3506.68
79,14511.73,3254.19,3254.19,3.2169,3.2169,43578.42,3453.21
80,14421.49,3222.60,3222.60,3.2387,3.2387,33731.81,3443.55
81,14512.03,3245.00,3245.00,3.2361,3.2361,34921.01,3407.51
82,?,?,?,?,?,?,?
83,?,?,?,?,?,?,?
84,14447.75,3235.30,3235.30,3.1950,3.1950,43108.44,3325.51
85,14559.65,3252.48,3252.48,3.2427,3.2427,67851.28,3351.03
86,14526.16,3256.52,3256.52,3.2635,3.2635,59452.65,3455.95
87,14578.54,3267.52,3267.52,3.2773,3.2773,46505.95,3441.46
88,?,?,?,3.2590,3.2590,?,?
89,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?
91,14572.85,3239.17,3239.17,?,?,?,?
92,14662.01,3254.86,3254.86,3.2552,3.2552,58097.14,3413.77
93,14550.35,3218.60,3218.60,3.2693,3.2693,86762.67,3410.26
94,14606.11,3224.98,3224.98,3.2750,3.2750,54627.70,3374.55
95,14565.25,3203.86,3203.86,3.2358,3.2358,84197.98,3421.18
96,?,?,?,?,?,?,?
97,?,?,?,?,?,?,?
98,14613.48,3222.25,3222.25,3.1893,3.1893,80162.77,3413.86
99,14673.46,3237.86,3237.86,3.1696,3.1696,44948.95,3384.83
100,14802.24,3297.25,3297.25,3.1405,3.1405,89820.73,3381.43
101,14865.14,3300.16,3300.16,3.1382,3.1382,50078.52,3429.50
102,14865.06,3294.95,3294.95,3.1537,3.1537,20598.16,3424.65
103,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?
105,14599.20,3216.49,3216.49,3.1502,3.1502,23924.50,3370.12
106,14756.78,3264.63,3264.63,3.1559,3.1559,?,?
107,14618.59,3204.67,3204.67,3.1159,3.1159,81649.52,3264.92
108,14537.14,3166.36,3166.36,3.1529,3.1529,65725.94,3237.49
109,14547.51,3206.06,3206.06,3.1409,3.1409,29902.59,3239.08
