%310
@RELATION WIG-Plus
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,12009.88,782.35
3,13391.36,3100.57,3100.57,3.1005,3.1005,13734.03,783.15
4,13435.21,3101.66,3101.66,3.1700,3.1700,10273.60,781.69
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,8884.49,781.76
8,13328.85,3091.81,3091.81,3.1457,3.1457,13402.05,780.70
9,13390.51,3105.81,3105.81,3.1516,3.1516,13700.97,784.82
10,13471.22,3121.76,3121.76,3.1121,3.1121,10670.88,788.85
11,13488.43,3125.64,3125.64,3.0890,3.0890,14820.32,795.36
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,15128.33,797.42
15,13534.89,3110.78,3110.78,3.0750,3.0750,14868.94,794.59
16,13511.23,3117.54,3117.54,3.1097,3.1097,14076.50,796.34
17,13596.02,3136.00,3136.00,3.0853,3.0853,21658.55,803.56
18,13649.70,3134.71,3134.71,3.0925,3.0925,19154.76,807.72
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,12406.42,809.27
22,13712.21,3143.18,3143.18,3.1341,3.1341,10731.97,808.23
23,13779.33,3153.67,3153.67,3.1195,3.1195,12373.36,808.40
24,13825.33,3130.38,3130.38,3.1503,3.1503,15112.00,811.80
25,13895.98,3149.71,3149.71,3.1186,3.1186,12201.76,812.99
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,9606.61,813.38
29,13954.42,3153.66,3153.66,3.1229,3.1229,12416.86,815.93
30,13910.42,3142.31,3142.31,3.0938,3.0938,20049.42,815.59
31,13860.58,3142.13,3142.13,3.0874,3.0874,13048.32,817.14
32,14009.79,3179.10,3179.10,3.0744,3.0744,12973.91,818.68
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,13880.08,3131.17,3131.17,3.0563,3.0563,11004.69,818.05
36,13979.30,3171.58,3171.58,3.0831,3.0831,11854.49,816.68
37,13986.52,3168.48,3168.48,3.0868,3.0868,9577.81,813.75
38,13944.05,3165.13,3165.13,3.0886,3.0886,9795.47,811.13
39,13992.97,3193.87,3193.87,3.1056,3.1056,13007.65,813.77
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,13971.24,3192.00,3192.00,3.0991,3.0991,10881.44,817.03
43,14018.70,3186.49,3186.49,3.1159,3.1159,8935.89,817.32
44,13982.91,3196.88,3196.88,3.1012,3.1012,10536.83,817.35
45,13973.39,3198.66,3198.66,3.1209,3.1209,12977.29,818.81
46,13981.76,3192.03,3192.03,3.1398,3.1398,13745.04,826.73
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,?,?,?,3.1410,3.1410,13153.46,830.85
50,14035.67,3213.59,3213.59,3.1360,3.1360,16152.36,832.30
51,13927.54,3164.41,3164.41,3.1002,3.1002,12362.62,830.62
52,13880.62,3131.49,3131.49,3.1633,3.1633,10085.03,823.32
53,14000.57,3161.82,3161.82,3.1443,3.1443,9506.85,826.66
54,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?
56,13784.17,3116.25,3116.25,3.1412,3.1412,13602.07,829.61
57,13900.13,3129.65,3129.65,3.1733,3.1733,8877.63,828.81
