%310
@RELATION WIG30TR
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?
2,13412.55,3112.26,3112.26,?,?,0.00,3789.17
3,13391.36,3100.57,3100.57,3.1005,3.1005,0.00,3797.12
4,13435.21,3101.66,3101.66,3.1700,3.1700,0.00,3770.27
5,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?
7,13384.29,3098.81,3098.81,3.1618,3.1618,0.00,3745.58
8,13328.85,3091.81,3091.81,3.1457,3.1457,0.00,3724.40
9,13390.51,3105.81,3105.81,3.1516,3.1516,0.00,3729.12
10,13471.22,3121.76,3121.76,3.1121,3.1121,0.00,3743.79
11,13488.43,3125.64,3125.64,3.0890,3.0890,0.00,3727.62
12,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?
14,13507.32,3117.50,3117.50,3.0828,3.0828,0.00,3733.64
15,13534.89,3110.78,3110.78,3.0750,3.0750,0.00,3700.81
16,13511.23,3117.54,3117.54,3.1097,3.1097,0.00,3739.63
17,13596.02,3136.00,3136.00,3.0853,3.0853,0.00,3747.05
18,13649.70,3134.71,3134.71,3.0925,3.0925,0.00,3758.73
19,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?
21,?,?,?,3.1351,3.1351,0.00,3760.89
22,13712.21,3143.18,3143.18,3.1341,3.1341,0.00,3751.19
23,13779.33,3153.67,3153.67,3.1195,3.1195,0.00,3739.40
24,13825.33,3130.38,3130.38,3.1503,3.1503,0.00,3756.00
25,13895.98,3149.71,3149.71,3.1186,3.1186,0.00,3722.51
26,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?
28,13881.93,3154.30,3154.30,3.1074,3.1074,0.00,3694.19
29,13954.42,3153.66,3153.66,3.1229,3.1229,0.00,3697.32
30,13910.42,3142.31,3142.31,3.0938,3.0938,0.00,3655.96
31,13860.58,3142.13,3142.13,3.0874,3.0874,0.00,3642.47
32,14009.79,3179.10,3179.10,3.0744,3.0744,0.00,3652.36
33,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?
35,13880.08,3131.17,3131.17,3.0563,3.0563,0.00,3613.18
36,13979.30,3171.58,3171.58,3.0831,3.0831,0.00,3634.73
37,13986.52,3168.48,3168.48,3.0868,3.0868,0.00,3589.91
38,13944.05,3165.13,3165.13,3.0886,3.0886,0.00,3603.17
39,13992.97,3193.87,3193.87,3.1056,3.1056,0.00,3638.59
40,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?
42,13971.24,3192.00,3192.00,3.0991,3.0991,0.00,3645.53
43,14018.70,3186.49,3186.49,3.1159,3.1159,0.00,3598.29
44,13982.91,3196.88,3196.88,3.1012,3.1012,0.00,3598.75
45,13973.39,3198.66,3198.66,3.1209,3.1209,0.00,3574.86
46,13981.76,3192.03,3192.03,3.1398,3.1398,0.00,3592.31
47,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?
49,?,?,?,3.1410,3.1410,0.00,3605.03
50,14035.67,3213.59,3213.59,3.1360,3.1360,0.00,3607.77
51,13927.54,3164.41,3164.41,3.1002,3.1002,0.00,3565.83
52,13880.62,3131.49,3131.49,3.1633,3.1633,0.00,3559.72
53,14000.57,3161.82,3161.82,3.1443,3.1443,0.00,3563.91
54,?,?,?,?,?,?,?
55,?,?,?,?,?,?,?
56,13784.17,3116.25,3116.25,3.1412,3.1412,0.00,3587.99
57,13900.13,3129.65,3129.65,3.1733,3.1733,0.00,3549.82
58,14075.37,3162.26,3162.26,3.1841,3.1841,0.00,3582.59
59,14054.49,3160.19,3160.19,3.1679,3.1679,0.00,3585.19
60,14089.66,3169.74,3169.74,3.1769,3.1769,0.00,3601.15
61,?,?,?,?,?,?,?
62,?,?,?,?,?,?,?
63,14127.82,3182.03,3182.03,3.1837,3.1837,0.00,3585.84
64,14253.77,3224.13,3224.13,3.1665,3.1665,0.00,3632.41
65,14296.24,3222.36,3222.36,3.1660,3.1660,0.00,3637.73
66,14329.49,3232.09,3232.09,3.1808,3.1808,0.00,3634.06
67,14397.07,3244.37,3244.37,3.1690,3.1690,0.00,3665.45
68,?,?,?,?,?,?,?
69,?,?,?,?,?,?,?
70,14447.29,3252.87,3252.87,3.1828,3.1828,0.00,3646.72
71,14450.06,3242.32,3242.32,3.1887,3.1887,0.00,3656.26
72,14455.28,3245.12,3245.12,3.1863,3.1863,0.00,3646.20
73,14539.14,3258.93,3258.93,3.2000,3.2000,0.00,3680.31
74,14514.11,3249.07,3249.07,3.1868,3.1868,0.00,3672.97
75,?,?,?,?,?,?,?
76,?,?,?,?,?,?,?
77,14452.06,3237.59,3237.59,3.2015,3.2015,0.00,3633.72
78,14455.82,3229.10,3229.10,3.2055,3.2055,0.00,3581.72
79,14511.73,3254.19,3254.19,3.2169,3.2169,0.00,3579.99
80,14421.49,3222.60,3222.60,3.2387,3.2387,0.00,3543.16
81,14512.03,3245.00,3245.00,3.2361,3.2361,0.00,3502.98
82,?,?,?,?,?,?,?
83,?,?,?,?,?,?,?
84,14447.75,3235.30,3235.30,3.1950,3.1950,0.00,3458.60
85,14559.65,3252.48,3252.48,3.2427,3.2427,0.00,3473.97
86,14526.16,3256.52,3256.52,3.2635,3.2635,0.00,3524.18
87,14578.54,3267.52,3267.52,3.2773,3.2773,0.00,3509.61
88,?,?,?,3.2590,3.2590,?,?
