%310
@RELATION nasdaq
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?
2,3112.26
3,3100.57
4,3101.66
5,?
6,?
7,3098.81
8,3091.81
9,3105.81
10,3121.76
11,3125.64
12,?
13,?
14,3117.50
15,3110.78
16,3117.54
17,3136.00
18,3134.71
19,?
20,?
21,?
22,3143.18
23,3153.67
24,3130.38
25,3149.71
26,?
27,?
28,3154.30
29,3153.66
30,3142.31
31,3142.13
32,3179.10
33,?
34,?
35,3131.17
36,3171.58
37,3168.48
38,3165.13
39,3193.87
40,?
41,?
42,3192.00
43,3186.49
44,3196.88
45,3198.66
46,3192.03
47,?
48,?
49,?
50,3213.59
51,3164.41
52,3131.49
53,3161.82
54,?
55,?
56,3116.25
57,3129.65
58,3162.26
59,3160.19
60,3169.74
61,?
62,?
63,3182.03
64,3224.13
65,3222.36
66,3232.09
67,3244.37
68,?
69,?
70,3252.87
71,3242.32
72,3245.12
73,3258.93
74,3249.07
75,?
76,?
77,3237.59
78,3229.10
79,3254.19
80,3222.60
81,3245.00
82,?
83,?
84,3235.30
85,3252.48
86,3256.52
87,3267.52
88,?
89,?
90,?
91,3239.17
92,3254.86
93,3218.60
94,3224.98
95,3203.86
96,?
97,?
98,3222.25
99,3237.86
100,3297.25
101,3300.16
102,3294.95
103,?
104,?
105,3216.49
106,3264.63
107,3204.67
108,3166.36
109,3206.06
110,?
111,?
112,3233.55
113,3269.33
114,3269.65
115,3289.99
116,3279.26
117,?
118,?
119,3307.02
120,3328.79
121,3299.13
122,3340.62
123,3378.63
124,?
125,?
126,3392.97
127,3396.63
128,3413.27
129,3409.17
130,3436.58
131,?
132,?
133,3438.79
134,3462.61
135,3471.62
136,3465.24
137,3498.97
138,?
139,?
140,3496.43
141,3502.12
142,3463.30
143,3459.42
144,3459.14
145,?
146,?
147,?
148,3488.89
149,3467.52
150,3491.30
151,3455.91
152,?
153,?
154,3465.37
155,3445.26
156,3401.48
157,3424.05
158,3469.22
159,?
160,?
161,3473.77
162,3436.95
163,3400.43
164,3445.36
165,3423.56
166,?
167,?
168,3452.13
169,3482.18
170,3443.20
171,3364.64
172,3357.25
173,?
174,?
175,3320.76
176,3347.89
177,3376.22
178,3401.86
179,3403.25
180,?
181,?
182,3434.49
183,3433.40
184,3443.67
185,?
186,3479.38
187,?
188,?
189,3484.83
190,3504.26
191,3520.76
192,3578.30
193,3600.08
194,?
195,?
196,3607.49
197,3598.50
198,3610.00
199,3611.28
200,3587.61
201,?
202,?
203,3600.39
204,3579.27
205,3579.60
206,3605.19
207,3613.16
208,?
209,?
210,3599.14
211,3616.47
212,3626.37
213,3675.74
214,3689.59
215,?
216,?
217,3692.95
218,3665.77
219,3654.01
220,3669.12
221,3660.11
222,?
223,?
224,3669.95
225,3684.44
226,3669.27
227,3606.12
228,3602.78
229,?
230,?
231,3589.09
232,3613.59
233,3599.79
234,3638.71
235,3657.79
236,?
237,?
238,3657.57
239,3578.52
240,3593.35
241,3620.30
242,3589.87
243,?
244,?
245,?
246,3612.61
247,3649.04
248,3658.78
249,3660.01
250,?
251,?
252,3706.18
253,3729.02
254,3725.01
255,3715.97
256,3722.18
257,?
258,?
259,3717.85
260,3745.70
261,3783.64
262,3789.38
263,3774.73
264,?
265,?
266,3765.29
267,3768.25
268,3761.10
269,3787.43
270,3781.59
271,?
272,?
273,3771.48
274,3817.98
275,3815.02
276,3774.34
277,3807.75
278,?
279,?
280,3770.38
281,3694.83
282,3677.78
283,3760.75
284,3791.87
285,?
286,?
287,3815.28
288,3794.01
289,3839.43
290,3863.15
291,3914.28
292,?
293,?
294,3920.05
295,3929.57
296,3907.07
297,3928.96
298,3943.36
299,?
300,?
301,3940.13
302,3952.34
303,3930.62
304,3919.71
305,3922.04
306,?
307,?
308,3943.52
309,3941.67
310,3928.06
340,?
370,?
400,?
490,?
670,?
